new serial,Old Serial,Deployment Stage,LATEST serial,NEW Serial,OLD Serial,Title,Note,,Key,Item Type,Publication Year,Author,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
11,11,System Integration,75,80,602,LCKV: Learner-Cleaner Optimized Adaptive Key-Value Separated LSM-Tree Store,,,EZD5UHG3,conferencePaper,2024,M. Liu; J. Gu; T. Zhao,2024 IEEE 42nd International Conference on Computer Design (ICCD),2576-6996,,10.1109/ICCD63220.2024.00079,,"Persistent key-value store based on LSM-trees represents one of the most advanced designs. Recent research shows that key-value separation has become a popular optimization method for LSM-tree. However, this storage architecture still incurs significant overhead when dealing with some query- and update-intensive workloads. In this paper, we propose $\text{LC}\text{KV}$, a key-value separated LSM-tree storage system built using the $\underline{L}earner-\underline{C}leaner$ optimization to increase throughput. Learner represents the construction of learned indexes to increase query throughput, responsible for building models for the hot-readcold-written keys stored in the LSM-tree and values stored in the cold-written $\mathrm{v}\text{alue logs}$ (vLogs). Cleaner represents the garbage $\mathrm{c}\text{ollector}$ (GC) aimedat increasing update throughput, responsible not only for garbage collection but also for maintaining the sorting of the cold-written vLog. Evaluations show that LCKV outperforms other state-of-the-art solutions.",2024-11-18,2025-12-21 19:21:47,2025-12-21 19:21:47,,479-482,,,,,,,,,,,,,,,,,,,,Journal Abbreviation: 2024 IEEE 42nd International Conference on Computer Design (ICCD),,,,Architecture; Buildings; Computer architecture; Garbage collection; Indexes; Key-value separation; Key-value store; Learned index; LSM-tree; Optimization methods; Sorting; Throughput,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024 IEEE 42nd International Conference on Computer Design (ICCD),,,,,,,,,,,,,,,
12,70,Novel Index Design (Research Prototype),70,70,456,HIRE: A Hybrid Learned Index for Robust and Efficient Performance under Mixed Workloads,,,8WMWEQTM,journalArticle,2025,"Zhang, Xinyi; Liang, Liang; Ailamaki, Anastasia; Xu, Jianliang",,,,10.26190/unsworks/31222,https://arxiv.org/pdf/2511.21307,"Indexes are critical for efficient data retrieval and updates in modern databases. Recent advances in machine learning have led to the development of learned indexes, which model the cumulative distribution function of data to predict search positions and accelerate query processing. While learned indexes substantially outperform traditional structures for point lookups, they often suffer from high tail latency, suboptimal range query performance, and inconsistent effectiveness across diverse workloads. To address these challenges, this paper proposes HIRE, a hybrid in-memory index structure designed to deliver efficient performance consistently. HIRE combines the structural and performance robustness of traditional indexes with the predictive power of model-based prediction to reduce search overhead while maintaining worst-case stability. Specifically, it employs (1) hybrid leaf nodes adaptive to varying data distributions and workloads, (2) model-accelerated internal nodes augmented by log-based updates for efficient updates, (3) a nonblocking, cost-driven recalibration mechanism for dynamic data, and (4) an inter-level optimized bulk-loading algorithm accounting for leaf and internal-node errors. Experimental results on multiple real-world datasets demonstrate that HIRE outperforms both state-of-the-art learned indexes and traditional structures in range-query throughput, tail latency, and overall stability. Compared to state-of-the-art learned indexes and traditional indexes, HIRE achieves up to 41.7$\times$ higher throughput under mixed workloads, reduces tail latency by up to 98% across varying scenarios.",2025-11,2025-12-21 21:44:04,2025-12-21 21:44:04,,2025-2037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,Novel Index Design (Research Prototype),13,98,691,Bounding the Last Mile: Efficient Learned String Indexing,,,Z65B4D9K,journalArticle,2021,"Spector, Benjamin; Kipf, Andreas; Vaidya, Kapil; Wang, Chi; Minhas, Umar Farooq; Kraska, Tim",,,,,https://arxiv.org/pdf/2111.14905,"We introduce the RadixStringSpline (RSS) learned index structure for efficiently indexing strings. RSS is a tree of radix splines each indexing a fixed number of bytes. RSS approaches or exceeds the performance of traditional string indexes while using 7-70$\times$ less memory. RSS achieves this by using the minimal string prefix to sufficiently distinguish the data unlike most learned approaches which index the entire string. Additionally, the bounded-error nature of RSS accelerates the last mile search and also enables a memory-efficient hash-table lookup accelerator. We benchmark RSS on several real-world string datasets against ART and HOT. Our experiments suggest this line of research may be promising for future memory-intensive database applications.",2021-11,2025-12-23 8:25:04,2025-12-23 8:25:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,Novel Index Design (Research Prototype),14,14,90,BLI: A High-performance Bucket-based Learned Index with Concurrency Support,,,LY5ZCZUI,journalArticle,2025,"Dong, Huibing; Wang, Wenlong; Liu, Chun; Du, David",,,,,https://arxiv.org/pdf/2502.10597,"Learned indexes are promising to replace traditional tree-based indexes. They typically employ machine learning models to efficiently predict target positions in strictly sorted linear arrays. However, the strict sorted order 1) significantly increases insertion overhead, 2) makes it challenging to support lock-free concurrency, and 3) harms in-node lookup/insertion efficiency due to model inaccuracy.\ In this paper, we introduce a \textit{Bucket-based Learned Index (BLI)}, which is an updatable in-memory learned index that adopts a ""globally sorted, locally unsorted"" approach by replacing linear sorted arrays with \textit{Buckets}. BLI optimizes the insertion throughput by only sorting Buckets, not the key-value pairs within a Bucket. BLI strategically balances three critical performance metrics: tree fanouts, lookup/insert latency for inner nodes, lookup/insert latency for leaf nodes, and memory consumption. To minimize maintenance costs, BLI performs lightweight bulk loading, insert, node scaling, node split, model retraining, and node merging adaptively. BLI supports lock-free concurrency thanks to the unsorted design with Buckets. Our results show that BLI achieves up to 2.21x better throughput than state-of-the-art learned indexes, with up to 3.91x gains under multi-threaded conditions.",2025-02,2025-12-21 21:43:55,2025-12-21 21:43:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,Foundational Proposal,15,15,100,The PGM-index: a fully-dynamic compressed learned index with provable worst-case bounds,Foundational paper,,V7EZZ4ZN,journalArticle,2020,"Ferragina, P; Endowment, G Vinciguerra",dl.acm.org,,,10.14778/3389133.3389135,https://dl.acm.org/doi/abs/10.14778/3389133.3389135?casa_token=NyUggZyAdEQAAAAA:ilcCUtTEUEH0Ose4_hCXlyBoGcVac3DW9_JpECFazE7hZVaChfHUtTVki_CtUhGaoKEmI5pDZgMD240,"We present the first learned index that supports predeces-sor, range queries and updates within provably efficient time and space bounds in the worst case. In the (static) context of just predecessor and range queries these bounds turn out to be optimal. We call this learned index the Piecewise Geometric Model index (PGM-index). Its exible design allows us to introduce three variants which are novel in the context of learned data structures. The first variant of the PGM-index is able to adapt itself to the distribution of the query operations, thus resulting in the first known distribution-aware learned index to date. The second vari-ant exploits the repetitiveness possibly present at the level of the learned models that compose the PGM-index to fur-ther compress its succinct space footprint. The third one is a multicriteria variant of the PGM-index that efficiently auto-tunes itself in a few seconds over hundreds of millions of keys to satisfy space-time constraints which evolve over time across users, devices and applications. These theoretical achievements are supported by a large set of experimental results on known datasets which show that the fully-dynamic PGM-index improves the space oc-cupancy of existing traditional and learned indexes by up to three orders of magnitude, while still achieving their same or even better query and update time efficiency. As an exam-ple, in the static setting of predecessor and range queries, the PGM-index matches the query performance of a cache-opti-mised static B+-tree within two orders of magnitude (83x) less space; whereas in the fully-dynamic setting, where inser-tions and deletions are allowed, the PGM-index improves the query and update time performance of a B+-tree by up to 71% within three orders of magnitude (1140x) less space.",2020-04,2025-12-21 21:43:55,2025-12-21 21:43:55,,1162-1175,,8,13,,,,,,,,,,,,,,,,,Publisher: VLDB Endowment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,Novel Index Design (Research Prototype),16,16,101,On nonlinear learned string indexing,,,HM7IN7R3,journalArticle,,"Ferragina, P; Frasca, M; Access, GC Marinò - IEEE; 2023, undefined",ieeexplore.ieee.org,,,,https://ieeexplore.ieee.org/abstract/document/10184017/,,,2025-12-21 21:43:55,2025-12-21 21:43:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,Novel Index Design (Research Prototype),17,97,688,UpLIF: An Updatable Self-Tuning Learned Index Framework,,,IGSZWMHI,journalArticle,2024,"San Martín, Daniel; Manzano, | Carlos; Vieira De Camargo, Valter",,,,,https://arxiv.org/pdf/2408.04113,"The emergence of learned indexes has caused a paradigm shift in our perception of indexing by considering indexes as predictive models that estimate keys' positions within a data set, resulting in notable improvements in key search efficiency and index size reduction; however, a significant challenge inherent in learned index modeling is its constrained support for update operations, necessitated by the requirement for a fixed distribution of records. Previous studies have proposed various approaches to address this issue with the drawback of high overhead due to multiple model retraining. In this paper, we present UpLIF, an adaptive self-tuning learned index that adjusts the model to accommodate incoming updates, predicts the distribution of updates for performance improvement, and optimizes its index structure using reinforcement learning. We also introduce the concept of balanced model adjustment, which determines the model's inherent properties (i.e. bias and variance), enabling the integration of these factors into the existing index model without the need for retraining with new data. Our comprehensive experiments show that the system surpasses state-of-the-art indexing solutions (both traditional and ML-based), achieving an increase in throughput of up to 3.12 times with 1000 times less memory usage.",2024-08,2025-12-23 8:25:04,2025-12-23 8:25:04,,,,,,,,,,,,,,,,,,,,,,,,,,cs.CY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,Novel Index Design (Research Prototype),18,18,111,SALI: A scalable adaptive learned index framework based on probability models,uses LIPP,,SZ6SI4G8,journalArticle,2023,"Ge, Jiake; Zhang, Huanchen; Shi, Boyu; Luo, Yuanhui; Guo, Yunda; Chai, Yunpeng; Chen, Yuxing; Pan, Anqun",dl.acm.org,,,10.1145/3626752,https://dl.acm.org/doi/abs/10.1145/3626752?casa_token=It_pftsqmYQAAAAA:zTACtULxofdcCOLBX-heCj2LfWspOYVYGbwKKjXMUqsJTBs92ls2Li0JXrXm_5TxtJ2ga3w2J41qwIc,"The growth in data storage capacity and the increasing demands for high performance have created several challenges for concurrent indexing structures. One promising solution is the learned index, which uses a learning-based approach to fit the distribution of stored data and predictively locate target keys, significantly improving lookup performance. Despite their advantages, prevailing learned indexes exhibit constraints and encounter issues of scalability on multi-core data storage.This paper introduces SALI, the Scalable Adaptive Learned Index framework, which incorporates two strategies aimed at achieving high scalability, improving efficiency, and enhancing the robustness of the learned index. Firstly, a set of node-evolving strategies is defined to enable the learned index to adapt to various workload skews and enhance its concurrency performance in such scenarios. Secondly, a lightweight strategy is proposed to maintain statistical information within the learned index, with the goal of further improving the scalability of the index. Furthermore, to validate their effectiveness, SALI applied the two strategies mentioned above to the learned index structure that utilizes fine-grained write locks, known as LIPP. The experimental results have demonstrated that SALI significantly enhances the insertion throughput with 64 threads by an average of 2.04x compared to the second-best learned index. Furthermore, SALI accomplishes a lookup throughput similar to that of LIPP+.",2023-12,2025-12-21 21:43:55,2025-12-21 21:43:55,,1-25,,4,1,,,,,,,,,,,,,,,,,Publisher: Association for Computing Machinery (ACM),,,,adaptive structure; concurrency structure; learned index; probability models,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,Novel Index Design (Research Prototype),19,19,115,Chameleon: Towards Update-Efficient Learned Indexing for Locally Skewed Data,,,W4Z56LYN,journalArticle,,"Guo, Na; Wang, Yaqi; Sun, Wenli; Gu, Yu; Qi, Jianzhong; Liu, Zhenghao; Xia, Xiufeng; Yu, Ge",ieeexplore.ieee.org,,,,https://ieeexplore.ieee.org/abstract/document/10597777/,"Recently, learned indexes are assisting and are being adopted to replace traditional indexes for their low memory usage and high query performance. However, existing learned indexes suffer in query efficiency when dealing with locally skewed data distributions which may be caused or exacerbated by ubiquitous updates. Frequent model retraining and reconstruction is required under this circumstance. To address this issue, we present Chameleon, an adaptive learned index for locally skewed data especially in the context of frequent updates. We propose a metric for measuring local skewness, based on which we employ Multi-Agent Reinforcement Learning to assist in locating locally skewed regions and optimizing index structures. Additionally, to reduce the blocking time caused by index model retraining, we propose a lightweight lock named the Interval Lock to achieve a non-blocking retraining. Extensive experiments demonstrate that, without costing more memory, Chameleon outperforms the state-of-the-art learned indexes by up to 3.75× and 4.37× in lookup times for read-only and mixed workloads, respectively, and it accelerates update processing by up to 2.92×.",,2025-12-21 21:43:55,2025-12-21 21:43:55,,,,,,,,,,,,,,,,,,,,,,,,,,Frequent Updates; Index Terms-Learned Index; Locally Skewed Data; Multi-Agent Reinforcement Learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20,System Integration,20,20,131,DobLIX: A Dual-Objective Learned Index for Log-Structured Merge Trees,rocksDB,,ZKJBAQMI,journalArticle,2025,"Heidari Huawei, Alireza; Ahmadi Huawei, Amirhossein; Zhang Huawei, Wei; Heidari, Alireza; Ahmadi, Amirhossein; Zhang DobLIX, Wei",arxiv.org,,,10.14778/3749646.3749667,https://arxiv.org/abs/2502.05369,"In this paper, we introduce DobLIX, a dual-objective learned index (LI) specifically designed for Log-Structured Merge (LSM) tree-based key-value stores. Traditional LIs primarily focus on optimizing index lookups, often overlooking the critical role of data access from storage, which can become a significant performance bottleneck. In LSM-based systems, a considerable portion of the index is stored on disk, making lookups highly dependent on the efficient coordination between in-memory structures and disk-resident data. Poorly optimized access patterns can lead to excessive I/O operations, negatively impacting read latency and overall system performance. DobLIX addresses this by incorporating a second objective , data access optimization, into the LI training process. This dual-objective approach ensures that both index lookup efficiency and data access costs are minimized, leading to significant improvements in read performance while maintaining write efficiency in real-world LSM systems. Additionally, DobLIX features a reinforcement learning agent that dynamically tunes the system parameters, allowing it to adapt to varying workloads in real-time. Experimental results using real-world datasets demonstrate that DobLIX reduces indexing overhead and improves throughput by 1.19× to 2.21× compared to state-of-the-art methods within RocksDB, a widely used LSM-based storage engine.",2025,2025-12-21 21:43:56,2025-12-21 21:43:56,,3965-3978,,11,18,,,,,,,,,,,,,,,,,Publisher: VLDB Endowment,,,,cs.DB; cs.LG; math.OC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,Foundational Proposal,21,21,185,The case for learned index structures,Foundational paper,,N53KQYSR,journalArticle,2018,"Kraska, Tim; Beutel, Alex; Chi, Ed H.; Dean, Jeffrey; Polyzotis, Neoklis",dl.acm.org,,9781450317436,10.1145/3183713.3196909,https://dl.acm.org/doi/abs/10.1145/3183713.3196909,"Indexes are models: a B-Tree-Index can be seen as a model to map a key to the position of a record within a sorted array, a Hash-Index as a model to map a key to a position of a record within an unsorted array, and a BitMap-Index as a model to indicate if a data record exists or not. In this exploratory research paper, we start from this premise and posit that all existing index structures can be replaced with other types of models, including deep-learning models, which we term learned indexes. We theoretically analyze under which conditions learned indexes outperform traditional index structures and describe the main challenges in designing learned index structures. Our initial results show that our learned indexes can have significant advantages over traditional indexes. More importantly, we believe that the idea of replacing core components of a data management system through learned models has far reaching implications for future systems designs and that this work provides just a glimpse of what might be possible.",2018-05,2025-12-21 21:43:57,2025-12-21 21:43:57,,489-504,,,,,,,,,,,,,,,,,,,,Publisher: Association for Computing Machinery,,,,CCS CONCEPTS •; Data structures; Information systems →,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22,Novel Index Design (Research Prototype),74,74,485,SLIPP: a space-efficient learned index for string keys,,,AH88ZXHH,journalArticle,2024,"Zhou, W; Conference, S Yang - Proceedings of the 2024 6th International; 2024, undefined",dl.acm.org,,9798400718069,10.1145/3686540.3686550,https://dl.acm.org/doi/abs/10.1145/3686540.3686550?casa_token=gKxGxu7ClMAAAAAA:8vLy8DComNPVn2apTrxF5oJEPEcITUKYrESd9raMzlz00cdtaL_f6AaOsEaF9pxjtjkmmQEwrgUM39U,"Efficient indexing structures are crucial for high-performance data access in in-memory data management systems. Traditional indexing methods, while effective in specific scenarios, often struggle with variable-length string keys and range queries. This paper presents the String Learned Index with Precise Positions (SLIPP), an enhancement of the Learned Index with Precise Positions (LIPP) that incorporates trie-based methodologies. By integrating trie characteristics with the predictive capabilities of a simple univariate linear regression model, SLIPP aims to optimize the handling of string keys, significantly reducing memory usage and improving lookup speeds. Our evaluation, utilizing the TLI experimental framework, demonstrates SLIPP's effectiveness in rapid lookups and highlights its adaptability to datasets featuring long common prefixes. Although SLIPP encounters challenges with intricate data distributions, its approach to string key indexing, building on the foundation of LIPP and incorporating trie features, offers a promising avenue for enhancing database systems to manage large datasets more efficiently and with lower space requirements.",2024-05,2025-12-21 21:44:05,2025-12-21 21:44:05,,69-77,,,,,,,,,,,,,,,,,,,,Publisher: Association for Computing Machinery,,,,Learned index; In-memory; String; • Data structures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,23,Novel Index Design (Research Prototype),23,23,188,A fully on-disk updatable learned index,,,GER8ATAG,journalArticle,,"Lan, H; Bao, Z; …, JS Culpepper - 2024 IEEE 40th; 2024, undefined",ieeexplore.ieee.org,,,,https://ieeexplore.ieee.org/abstract/document/10598156/,"Recent work on learned index opens a new research direction for index structures. By exploiting the data distribution , a read-only learned index can achieve much better time and space performance than B+-Trees. A number of recent studies propose enhanced learned index structures that provide various levels of support for insertions and deletions. Among them, ALEX, an updatable adaptive learned index, provides the most comprehensive support, allowing on-the-fly insertions and dynamically adjusting the index structure similar to the B+-Tree. In this paper, we study learned index from a new perspective, trying to understand how ALEX performs on Non-Volatile Main Memory (NVM). We analyze the insertion behaviors of ALEX and experimentally evaluate its performance on a real machine equipped with Intel Optane DC Persistent Memory. We find that learning data distributions in learned index makes it feasible to create very large leaf nodes, and reduce the tree height drastically for better search performance. However, this design choice causes a large number of NVM writes for insertion operations, even for the well optimized ALEX design.",,2025-12-21 21:43:57,2025-12-21 21:43:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,66,Novel Index Design (Research Prototype),66,66,450,Revisiting learned index with byte-addressable persistent storage,,,XFB4YV54,journalArticle,2024,"Zhang, Rui; Huang, Yukai; Liang, Sicheng; Sun, Shangyi; Ma, Shaonan; Huan, Chengying; Chen, Lulu; Lu, Zhihui; Xu, Yang; Yan, Ming; Wu, Jie",dl.acm.org,,9798400708428,10.1145/3673038.3673113,https://dl.acm.org/doi/abs/10.1145/3673038.3673113,"Byte-addressable Persistent Storage (BPS), such as persistent memory and CXL-enabled SSDs, has become an extension of main memory. This opens up new possibilities for indexes that operate and persist data directly on the memory bus. Recent learned indexes exploit data distribution and have shown great potential for some workloads. Despite some work proposed for integrating learned indexes into BPS, they are mainly based on Intel's first-generation persistent memory. The current design suffers from the following problems: 1) Excessive storage line accesses due to large node in learned indexes; 2) Inefficient concurrency control due to volatile cache; 3) Write amplification due to mismatch access granularity. To resolve these challenges, we introduce a new learned index named PFLX, featuring three key design improvements: 1) a Storage Line-Friendly Node Layout that enhances search and insertion operations and minimizes storage line accesses through strategic use of pointers; 2) a Persistent Cache-based Lock-free Concurrency Mechanism that utilizes atomic primitives to serialize operations in leaf nodes effectively; 3) a Selective Data Flush Mechanism designed to reduce write amplification. Evaluations show that PFLX outperforms the state-of-the-art persistent indexes by 1.2 ~3 ×.",2024-08,2025-12-21 21:44:04,2025-12-21 21:44:04,,929-938,,,,,,,,,,,,,,,,,,,,Publisher: Association for Computing Machinery,,,,Learned Index; Byte-addressable Persistent Storage; CXL; Persistent Memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25,Novel Index Design (Research Prototype),25,25,194,FINEdex: a fine-grained learned index scheme for scalable and concurrent memory systems,,,MJ89TZEN,journalArticle,2021,"Li, Pengfei; Hua, Yu; Jia, Jingnan; Zuo, Pengfei",dl.acm.org,,,10.14778/3489496.3489512,https://dl.acm.org/doi/abs/10.14778/3489496.3489512?casa_token=4C-CI4WTq48AAAAA:tZWP6h9oKm27fGjuNdgg9BZDN37rPKc8Jgm5h4SQGwg0ZebOf7ROkyMISu98UwuR8c04nVL8-jxYdd0,"Index structures in memory systems become important to improve the entire system performance. The promising learned indexes leverage deep-learning models to complement existing index structures and obtain significant performance improvements. Existing schemes rely on a delta-buffer to support the scalability, which however incurs high overheads when a large number of data are inserted, due to the needs of checking both learned indexes and extra delta-buffer. The practical system performance also decreases since the shared delta-buffer quickly becomes large and requires frequent retraining due to high data dependency. To address the problems of limited scalability and frequent retraining, we propose a FINE-grained learned index scheme with high scalability, called FINEdex, which constructs independent models with a flattened data structure (i.e., the data arrays with low data dependency) under the trained data array to concurrently process the requests with low overheads. By further efficiently exploring and exploiting the characteristics of the workloads, FINEdex processes the new requests in-place with the support of non-blocking retraining, hence adapting to the new distributions without blocking the systems. We evaluate FINEdex via YCSB and real-world datasets, and extensive experimental results demonstrate that FINEdex improves the performance respectively by up to 1.8× and 2.5× than state-of-the-art XIndex and Masstree. We have released the open-source codes of FINEdex for public use in GitHub.",2021,2025-12-21 21:43:57,2025-12-21 21:43:57,,321-334,,2,15,,,,,,,,,,,,,,,,,Publisher: VLDB Endowment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,26,System Integration,26,26,195,A Fast Learned Key-Value Store for Concurrent and Distributed Systems,,,TXS7XV3A,journalArticle,2023,"Li, P; Hua, Y; Jia, J; Knowledge, P Zuo - IEEE Transactions on; 2023, undefined",ieeexplore.ieee.org,,9783893180882,10.48786/edbt.2023.19,https://ieeexplore.ieee.org/abstract/document/10292900/,"Efficiently managing and querying sliding windows is a key component in stream processing systems. Conventional index structures such as the B+Tree are not efficient for handling a stream of time-series data, where the data is very dynamic, and the indexes must be updated on a continuous basis. Stream processing structures such as queues can accommodate large volumes of updates (enqueue and dequeue); however, they are not efficient for fast retrieval. This paper proposes FLIRT, a parameter-free index structure that manages a sliding window over a high-velocity stream of data and simultaneously supports efficient range queries on the sliding window. FLIRT uses learned indexing to reduce the lookup time. This is enabled by organising the incoming stream of time-series data into linearly predictable segments, allowing fast queue operations such as enqueue, dequeue, and search. We further boost the search performance by introducing two multithreaded versions of FLIRT for different query workloads. Experimental results show up to 7× speedup over conventional indexes, 8× speedup over queues, and up to 109× speedup over learned indexes .",2023,2025-12-21 21:43:57,2025-12-21 21:43:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,27,Novel Index Design (Research Prototype),27,27,196,DILI: A distribution-driven learned index,,,JHQ6HSF3,journalArticle,2023,"Li, Pengfei; Lu, Hua; Zhu, Rong; Ding, Bolin; Yang, Long; Pan, Gang",dl.acm.org,,,10.14778/3598581.3598593,https://dl.acm.org/doi/abs/10.14778/3598581.3598593?casa_token=ddNaFzY3YqYAAAAA:j1StCrarF-S5g3A0ETmF9kM9zvM7xD-vbRI03maamH0sYySkkUvic4-dDtEM8yPsh2Xr9TbZB2G6UWs,"Targeting in-memory one-dimensional search keys, we proposea novel DIstribution-driven Learned Index tree (DILI), where aconcise and computation-efficient linear regression model is usedfor each node. An internal node’s key range is equally divided by itschild nodes such that a key search enjoys perfect model predictionaccuracy to find the relevant leaf node. A leaf node uses machine learning models to generate searchable data layout and thus accurately predicts the data record position for a key. To construct DILI, we first build a bottom-up tree with linear regression models according to global and local key distributions. Using the bottom-up tree, we build DILI in a top-down manner, individualizing the fanouts for internal nodes according to local distributions. DILI strikes a good balance between the number of leaf nodes and the height of the tree, two critical factors of key search time. Moreover, wedesign flexible algorithms for DILI to efficiently insert and delete keys and automatically adjust the tree structure when necessary. Extensive experimental results show that DILI outperforms the state-of-the-art alternatives on different kinds of workloads.",2023,2025-12-21 21:43:57,2025-12-21 21:43:57,,2212-2224,,9,16,,,,,,,,,,,,,,,,,Publisher: VLDB Endowment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,28,Foundational Proposal,73,81,606,ALEX: An Updatable Adaptive Learned Index,Foundational paper,,B3575AE6,journalArticle,2020,"Ding, Jialin; Minhas, Umar Farooq; Yu, Jia; Wang, Chi; Do, Jaeyoung; Li, Yinan; Zhang, Hantian; Chandramouli, Badrish; Gehrke, Johannes; Kossmann, Donald; Lomet, David; Kraska, Tim",Proceedings of the ACM SIGMOD International Conference on Management of Data,,9781450367356,10.1145/3318464.3389711,,"Recent work on ""learned indexes"" has changed the way we look at the decades-old field of DBMS indexing. The key idea is that indexes can be thought of as ""models"" that predict the position of a key in a dataset. Indexes can, thus, be learned. The original work by Kraska et al. shows that a learned index beats a B+ tree by a factor of up to three in search time and by an order of magnitude in memory footprint. However, it is limited to static, read-only workloads. In this paper, we present a new learned index called ALEX which addresses practical issues that arise when implementing learned indexes for workloads that contain a mix of point lookups, short range queries, inserts, updates, and deletes. ALEX effectively combines the core insights from learned indexes with proven storage and indexing techniques to achieve high performance and low memory footprint. On read-only workloads, ALEX beats the learned index from Kraska et al. by up to 2.2X on performance with up to 15X smaller index size. Across the spectrum of read-write workloads, ALEX beats B+ trees by up to 4.1X while never performing worse, with up to 2000X smaller index size. We believe ALEX presents a key step towards making learned indexes practical for a broader class of database workloads with dynamic updates.",2020-06,2025-12-21 20:03:10,2025-12-21 20:03:10,,969-984,,,,,,,,,,,,,,,,,,,,Publisher: Association for Computing Machinery,,,,access methods; B+ tree; learned data structures; learned indexes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,Novel Index Design (Research Prototype),29,93,666,Sig2Model: A Boosting-Driven Model for Updatable Learned Indexes,,,KV5435KI,journalArticle,2025,"Lan, Hai; Bao, Zhifeng; Culpepper, J Shane; Borovica-Gajic, Renata; Dong, Yu",,,,,https://arxiv.org/pdf/2509.20781,"Learned Indexes (LIs) represent a paradigm shift from traditional index structures by employing machine learning models to approximate the cumulative distribution function (CDF) of sorted data. While LIs achieve remarkable efficiency for static datasets, their performance degrades under dynamic updates: maintaining the CDF invariant (sum of F(k) equals 1) requires global model retraining, which blocks queries and limits the queries-per-second (QPS) metric. Current approaches fail to address these retraining costs effectively, rendering them unsuitable for real-world workloads with frequent updates. In this paper, we present Sig2Model, an efficient and adaptive learned index that minimizes retraining cost through three key techniques: (1) a sigmoid boosting approximation technique that dynamically adjusts the index model by approximating update-induced shifts in data distribution with localized sigmoid functions while preserving bounded error guarantees and deferring full retraining; (2) proactive update training via Gaussian mixture models (GMMs) that identifies high-update-probability regions for strategic placeholder allocation to speed up updates; and (3) a neural joint optimization framework that continuously refines both the sigmoid ensemble and GMM parameters via gradient-based learning. We evaluate Sig2Model against state-of-the-art updatable learned indexes on real-world and synthetic workloads, and show that Sig2Model reduces retraining cost by up to 20x, achieves up to 3x higher QPS, and uses up to 1000x less memory.",2025-09,2025-12-23 8:25:02,2025-12-23 8:25:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
